First	Second	Third	Fourth	Fifth	Seventh
1	09.sty	17,00	34	34	+
2	10.sty	34,00	0	34	-
3	11.sty	51,00	0	34	-
4	12.sty	68,00	0	34	-
5	13.sty	85,00	0	34	-
6	14.sty	102,00	2	36	-
7	15.sty	119,00	0	36	-
8	16.sty	136,00	0	36	-
9	17.sty	153,00	0	36	-
10	18.sty	170,00	0	36	-
11	19.sty	187,00	0	36	-
12	20.sty	204,00	0	36	-
13	21.sty	221,00	0	36	-
14	22.sty	238,00	0	36	-
15	23.sty	255,00	0	36	-
16	24.sty	272,00	0	36	-
17	25.sty	289,00	0	36	-
18	26.sty	306,00	0	36	-
19	27.sty	323,00	0	36	-
20	28.sty	340,00	0	36	-
21	29.sty	357,00	0	36	-
22	30.sty	374,00	32	68	+
23	31.sty	391,00	22	90	+
24	01.lut	408,00	0	90	-
25	02.lut	425,00	0	90	-
26	03.lut	442,00	0	90	-
27	04.lut	459,00	0	90	-
28	05.lut	477,00	0	90	-
29	06.lut	494,00	0	90	-
30	07.lut	511,00	0	90	-
31	08.lut	528,00	0	90	-
32	09.lut	548,00	0	90	-
33	10.lut	557,00	0	90	-
34	11.lut	567,00	0	90	-
35	12.lut	577,00	0	90	-
36	13.lut	587,00	0	90	-
37	14.lut	596,00	0	90	-
38	15.lut	606,00	0	90	-
39	16.lut	616,00	0	90	-
40	17.lut	626,00	0	90	-
41	18.lut	636,00	0	90	-
42	19.lut	645,00	0	90	-
43	20.lut	655,00	0	90	-
44	21.lut	665,00	0	90	-
45	22.lut	675,00	0	90	-
46	23.lut	684,00	0	90	-
47	24.lut	694,00	0	90	-
48	25.lut	704,00	0	90	-
49	26.lut	714,00	0	90	-
50	27.lut	724,00	0	90	-
51	28.lut	733,00	0	90	-
52	01.mar	743,00	0	90	-
53	02.mar	753,00	0	90	-
54	03.mar	763,00	0	90	-
55	04.mar	773,00	0	90	-
56	05.mar	782,00	0	90	-
57	06.mar	792,00	0	90	-
58	07.mar	802,00	0	90	-
59	08.mar	812,00	16	106	+
60	09.mar	821,00	12	118	+
61	10.mar	831,00	20	138	+
62	11.mar	835,00	0	138	-
63	12.mar	839,00	0	138	-
64	13.mar	843,00	0	138	-
65	14.mar	847,00	0	138	-
66	15.mar	851,00	0	138	-
67	16.mar	855,00	24	162	+
68	17.mar	859,00	10	172	+
69	18.mar	863,00	11	183	+
70	19.mar	867,00	0	183	-
71	20.mar	871,00	17	200	+
72	21.mar	875,00	6	206	+
73	22.mar	879,00	15	221	+
74	23.mar	883,00	14	235	+
75	24.mar	887,00	7	242	+
76	25.mar	891,00	0	242	-
77	26.mar	895,00	0	242	-
78	27.mar	899,00	12	254	+
79	28.mar	903,00	12	266	+
80	29.mar	907,00	1	267	-
81	30.mar	911,00	17	284	+
82	31.mar	916,00	15	299	+
83	01.kwi	920,00	9	308	+
84	02.kwi	924,00	0	308	-
85	03.kwi	928,00	0	308	-
86	04.kwi	932,00	9	317	+
87	05.kwi	936,00	0	317	-
88	06.kwi	940,00	10	327	+
89	07.kwi	944,00	9	336	+
90	08.kwi	948,00	15	351	+
91	09.kwi	952,00	26	377	+
92	10.kwi	955,00	29	406	+
93	11.kwi	959,00	0	406	-
94	12.kwi	962,00	0	406	-
95	13.kwi	965,00	0	406	-
96	14.kwi	969,00	0	406	-
97	15.kwi	972,00	0	406	-
98	16.kwi	975,00	0	406	-
99	17.kwi	979,00	8	414	+
100	18.kwi	982,00	6	420	+
101	19.kwi	986,00	6	426	+
102	20.kwi	989,00	6	432	+
103	21.kwi	992,00	17	449	+
104	22.kwi	996,00	10	459	+
105	23.kwi	999,00	0	459	-
106	24.kwi	1002,00	0	459	-
107	25.kwi	1006,00	9	468	+

