First	Second	Third	Fourth	Fifth
60	09.mar	821,00	12	118
61	10.mar	831,00	20	138
62	11.mar	835,00	0	138
63	12.mar	839,00	0	138
64	13.mar	843,00	0	138
65	14.mar	847,00	0	138
66	15.mar	851,00	0	138
67	16.mar	855,00	24	162
68	17.mar	859,00	10	172
69	18.mar	863,00	11	183
70	19.mar	867,00	0	183
71	20.mar	871,00	17	200
72	21.mar	875,00	6	206
73	22.mar	879,00	15	221
74	23.mar	883,00	14	235
75	24.mar	887,00	7	242
76	25.mar	891,00	0	242
77	26.mar	895,00	0	242
78	27.mar	899,00	12	254
79	28.mar	903,00	12	266
80	29.mar	907,00	1	267
81	30.mar	911,00	17	284
82	31.mar	916,00	15	299
83	01.kwi	920,00	9	308
84	02.kwi	924,00	0	308
85	03.kwi	928,00	0	308
86	04.kwi	932,00	9	317
87	05.kwi	936,00	0	317
88	06.kwi	940,00	10	327
89	07.kwi	944,00	9	336
90	08.kwi	948,00	15	351
